Unnamed: 0,artist,album_name,rating,album_link,genre
,['Ali Farka Touré'],['Voyageur'],['8.0'],['https://pitchfork.com/reviews/albums/ali-farka-toure-voyageur/'],['global']
,['Rema'],['Rave & Roses'],['7.2'],['https://pitchfork.com/reviews/albums/rema-rave-and-roses/'],['global']
,['Ibibio Sound Machine'],['Electricity'],['7.8'],['https://pitchfork.com/reviews/albums/ibibio-sound-machine-electricity/'],['global']
,['Adekunle Gold'],['Catch Me If You Can'],['6.8'],['https://pitchfork.com/reviews/albums/adekunle-gold-catch-me-if-you-can/'],['global']
,['Wadada Leo Smith'],['Pacifica Koral Reef'],['7.8'],['https://pitchfork.com/reviews/albums/wadada-leo-smith-henry-kaiser-alex-v-pacifica-koral-reef/'],['global']
,['Riad Awwad'],['The Intifada 1987'],['7.6'],['https://pitchfork.com/reviews/albums/riad-awwad-hanan-awwad-mahmoud-darwi-the-intifada-1987/'],['global']
,['King Sunny Adé'],['Juju Music'],['10'],['https://pitchfork.com/reviews/albums/king-sunny-ade-juju-music/'],['global']
,['Bomba Estéreo'],['Deja'],['7.0'],['https://pitchfork.com/reviews/albums/bomba-estereo-deja/'],['global']
,['Vivien Goldman'],['Next Is Now'],['6.6'],['https://pitchfork.com/reviews/albums/vivien-goldman-next-is-now/'],['global']
,['Sarz'],['Sweetness EP'],['7.4'],['https://pitchfork.com/reviews/albums/sarz-obongjayar-sweetness-ep/'],['global']
,['Hailu Mergia'],['Tezeta'],['7.6'],['https://pitchfork.com/reviews/albums/hailu-mergia-the-walias-band-tezeta/'],['global']
,['Femi Kuti'],['Legacy +'],['7.8'],['https://pitchfork.com/reviews/albums/femi-kuti-made-kuti-legacy/'],['global']
,['Toots and the Maytals'],['Got to Be Tough'],['6.5'],['https://pitchfork.com/reviews/albums/toots-and-the-maytals-got-to-be-tough/'],['global']
,['Vladislav Delay'],['500-Push-Up'],['6.6'],['https://pitchfork.com/reviews/albums/vladislav-delay-sly-dunbar-robbie-sh-500-push-up/'],['global']
,['Brian Eno'],['Spinner'],['7.7'],['https://pitchfork.com/reviews/albums/brian-eno-jah-wobble-spinner/'],['global']
,['Gordon Koang'],['Unity'],['7.3'],['https://pitchfork.com/reviews/albums/gordon-koang-unity/'],['global']
,['Roedelius'],['Selbstportrait Wahre Liebe'],['7.8'],['https://pitchfork.com/reviews/albums/roedelius-selbstportrait-wahre-liebe/'],['global']
,['Hailu Mergia'],['Yene Mircha'],['7.8'],['https://pitchfork.com/reviews/albums/hailu-mergia-yene-mircha/'],['global']
,['Toots and the Maytals'],['Funky Kingston'],['9.0'],['https://pitchfork.com/reviews/albums/toots-and-the-maytals-funky-kingston/'],['global']
,['Obongjayar'],['Which Way Is Forward? EP'],['7.8'],['https://pitchfork.com/reviews/albums/obongjayar-which-way-is-forward-ep/'],['global']
,['Slikback'],['Lasakaneku / Tomo'],['8.0'],['https://pitchfork.com/reviews/albums/slikback-lasakaneku-tomo/'],['global']
,['Santi'],['Mandy & the Jungle'],['6.0'],['https://pitchfork.com/reviews/albums/santi-mandy-and-the-jungle/'],['global']
,['Luka Productions'],['Falaw'],['6.2'],['https://pitchfork.com/reviews/albums/luka-productions-falaw/'],['global']
,['Rodrigo y Gabriela'],['Mettavolution'],['7.1'],['https://pitchfork.com/reviews/albums/various-artists-mettavolution/'],['global']
,['Gaye Su Akyol'],['İstikrarlı Hayal Hakikattir'],['7.7'],['https://pitchfork.com/reviews/albums/gaye-su-akyol-istikrarli-hayal-hakikattir/'],['global']
,['Milton Nascimento'],['Clube Da Esquina'],['9.5'],['https://pitchfork.com/reviews/albums/milton-nascimento-lo-borges-clube-da-esquina/'],['global']
,['Bamba Pana'],['Poaa'],['7.2'],['https://pitchfork.com/reviews/albums/bamba-pana-poaa/'],['global']
,['Ekuka Morris Sirikiti'],['Ekuka'],['7.3'],['https://pitchfork.com/reviews/albums/ekuka-moriss-sirikiti-ekuka/'],['global']
,['Jess Sah Bi'],['Our Garden Needs Its Flowers'],['7.7'],['https://pitchfork.com/reviews/albums/jess-sah-bi-peter-one-our-garden-needs-its-flowers/'],['global']
,['Ram'],['RAM 7: August 1791'],['7.8'],['https://pitchfork.com/reviews/albums/ram-ram-7-august-1791/'],['global']
,['Midori Takada'],['Le Renard Bleu EP'],['7.6'],['https://pitchfork.com/reviews/albums/midori-takada-lafawndah-le-renard-bleu-ep/'],['global']
,['Domenico Lancellotti'],['The Good Is a Big God'],['7.5'],['https://pitchfork.com/reviews/albums/domenico-lancellotti-the-good-is-a-big-god/'],['global']
,['Hailu Mergia'],['Lala Belu'],['8.0'],['https://pitchfork.com/reviews/albums/hailu-mergia-lala-belu/'],['global']
,['Fela Kuti'],['Fela Kuti Box Set #4'],['8.5'],['https://pitchfork.com/reviews/albums/fela-kuti-fela-kuti-box-set-4/'],['global']
,['Amadou & Mariam'],['La Confusion'],['7.7'],['https://pitchfork.com/reviews/albums/amadou-and-mariam-la-confusion/'],['global']
,['Joe Bataan'],['Gypsy Woman'],['8.2'],['https://pitchfork.com/reviews/albums/joe-bataan-gypsy-woman/'],['global']
,['Chronixx'],['Chronology'],['7.6'],['https://pitchfork.com/reviews/albums/chronixx-chronology/'],['global']
,['Cybe'],['Tropisch Verlangen'],['7.8'],['https://pitchfork.com/reviews/albums/cybe-tropisch-verlangen/'],['global']
,['Amir ElSaffar'],['Not Two'],['7.9'],['https://pitchfork.com/reviews/albums/amir-elsaffar-rivers-of-sound-not-two/'],['global']
,['Arve Henriksen'],['Towards Language'],['7.6'],['https://pitchfork.com/reviews/albums/23342-towards-language/'],['global']
,['King Tubby & the Aggrovators'],['Dubbing in the Backyard'],['7.4'],['https://pitchfork.com/reviews/albums/23272-king-tubby-the-aggrovators-dubbing-in-the-backyard/'],['global']
,['Major Lazer'],['Know No Better EP'],['6.4'],['https://pitchfork.com/reviews/albums/23379-know-no-better-ep/'],['global']
,['Omar Souleyman'],"['To Syria, With Love']",['6.5'],['https://pitchfork.com/reviews/albums/23277-to-syria-with-love/'],['global']
,['Jaco Pastorius'],"['Truth, Liberty & Soul - Live in NYC: The Complete 1982 NPR Jazz Alive! Recording']",['8.1'],['https://pitchfork.com/reviews/albums/23126-truth-liberty-soul-live-in-nyc-the-complete-1982-npr-jazz-alive-recording/'],['global']
,['Mulatu Astatke'],['Mulatu Of Ethiopia'],['8.7'],['https://pitchfork.com/reviews/albums/23241-mulatu-of-ethiopia/'],['global']
,['MC Bin Laden'],['É Grau EP'],['7.7'],['https://pitchfork.com/reviews/albums/23259-mc-bin-laden-e-grau-ep/'],['global']
,['Orchestra Baobab'],['Tribute to Ndiouga Dieng'],['7.5'],['https://pitchfork.com/reviews/albums/23021-tribute-to-ndiouga-dieng/'],['global']
,['Janka Nabay and the Bubu Gang'],['Build Music'],['6.9'],['https://pitchfork.com/reviews/albums/23036-build-music/'],['global']
,['Wailing Souls'],['Wailing'],['8.7'],['https://pitchfork.com/reviews/albums/23024-wailing/'],['global']
,['Midori Takada'],['Through the Looking Glass'],['8.7'],['https://pitchfork.com/reviews/albums/22989-through-the-looking-glass/'],['global']
,['Erasmo Carlos'],"['Erasmo Carlos E Os Tremendões / Carlos, ERASMO... / Sonhos E Memórias 1941-1972']",['9.0'],['https://pitchfork.com/reviews/albums/22908-erasmo-carlos-e-os-tremendoes-carlos-erasmo-sonhos-e-memorias-1941-1972/'],['global']
,['Ibibio Sound Machine'],['Uyai'],['7.0'],['https://pitchfork.com/reviews/albums/22977-uyai/'],['global']
,['Tinariwen'],['Elwan'],['8.2'],['https://pitchfork.com/reviews/albums/22865-elwan/'],['global']
