,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Amaro Freitas'],['Y’Y'],['8.0'],['https://pitchfork.com/reviews/albums/amaro-freitas-y-y/'],['jazz'],
1,['Ornette Coleman'],['Science Fiction'],['9.5'],['https://pitchfork.com/reviews/albums/ornette-coleman-science-fiction/'],['jazz'],
2,['Fabiano do Nascimento'],['The Room'],['7.7'],['https://pitchfork.com/reviews/albums/fabiano-do-nascimento-sam-gendel-the-room/'],['jazz'],
3,['Vijay Iyer'],['Compassion'],['8.1'],['https://pitchfork.com/reviews/albums/vijay-iyer-linda-may-han-oh-tyshawn-sorey-compassion/'],['jazz'],
4,['Mary Halvorson'],['Cloudward'],['7.8'],['https://pitchfork.com/reviews/albums/mary-halvorson-cloudward/'],['jazz'],
5,['Darius Jones'],['fLuXkit Vancouver (its suite but sacred)'],['7.7'],['https://pitchfork.com/reviews/albums/darius-jones-fluxkit-vancouver-its-suite-but-sacred/'],['jazz'],
6,['Tara Clerkin Trio'],['On the Turning Ground EP'],['7.3'],['https://pitchfork.com/reviews/albums/tara-clerkin-trio-on-the-turning-ground-ep/'],['jazz'],
7,['Sen Morimoto'],['Diagnosis'],['7.4'],['https://pitchfork.com/reviews/albums/sen-morimoto-diagnosis/'],['jazz'],
8,['Derek Bailey'],['Duo in Concert'],['7.8'],['https://pitchfork.com/reviews/albums/derek-bailey-paul-motian-duo-in-concert/'],['jazz'],
9,['Vince Guaraldi'],['A Charlie Brown Thanksgiving (50th Anniversary Edition)'],['8.2'],['https://pitchfork.com/reviews/albums/vince-guaraldi-quintet-a-charlie-brown-thanksgiving/'],['jazz'],
10,['Thandi Ntuli'],['Rainbow Revisited'],['7.8'],['https://pitchfork.com/reviews/albums/thandi-ntuli-carlos-nino-rainbow-revisited/'],['jazz'],
11,['Patrick Shiroishi'],['I was too young to hear silence'],['7.2'],['https://pitchfork.com/reviews/albums/patrick-shiroishi-i-was-too-young-to-hear-silence/'],['jazz'],
12,['Daniel Villarreal'],['Lados B'],['7.4'],['https://pitchfork.com/reviews/albums/daniel-villareal-lados-b/'],['jazz'],
13,['Sam Gendel'],['AUDIOBOOK'],['7.3'],['https://pitchfork.com/reviews/albums/sam-gendel-marcella-cytrynowicz-audiobook/'],['jazz'],
14,['Leo Takami'],['Next Door'],['7.7'],['https://pitchfork.com/reviews/albums/leo-takami-next-door/'],['jazz'],
15,['Alain Goraguer'],['La Planète Sauvage (Expanded Original Soundtrack)'],['8.0'],['https://pitchfork.com/reviews/albums/alain-goraguer-la-planete-sauvage-expanded-original-soundtrack/'],['jazz'],
16,['Irreversible Entanglements'],['Protect Your Light'],['7.7'],['https://pitchfork.com/reviews/albums/irreversible-entanglements-protect-your-light/'],['jazz'],
17,['Pharoah Sanders'],['Pharoah'],['8.9'],['https://pitchfork.com/reviews/albums/pharoah-sanders-pharoah/'],['jazz'],
18,['Laufey'],['Bewitched'],['7.0'],['https://pitchfork.com/reviews/albums/laufey-bewitched/'],['jazz'],
19,['Alabaster DePlume'],['Come With Fierce Grace'],['7.5'],['https://pitchfork.com/reviews/albums/alabaster-deplume-come-with-fierce-grace/'],['jazz'],
20,['jaimie branch'],['Fly or Die Fly or Die Fly or Die ((world war))'],['8.5'],['https://pitchfork.com/reviews/albums/jaimie-branch-fly-or-die-fly-or-die-fly-or-die-world-war/'],['jazz'],
21,['Jon Batiste'],['World Music Radio'],['5.6'],['https://pitchfork.com/reviews/albums/jon-batiste-world-music-radio/'],['jazz'],
22,['Keith Jarrett'],['Solo Concerts: Bremen/Lausanne'],['9.2'],['https://pitchfork.com/reviews/albums/keith-jarrett-solo-concerts-bremen-lausanne/'],['jazz'],
23,['John Coltrane'],['Evenings at the Village Gate: John Coltrane With Eric Dolphy'],['9.2'],['https://pitchfork.com/reviews/albums/john-coltrane-evenings-at-the-village-gate-john-coltrane-with-eric-dolphy/'],['jazz'],
24,['Damon Locks'],['New Future City Radio'],['6.9'],['https://pitchfork.com/reviews/albums/damon-locks-rob-mazurek-new-future-city-radio/'],['jazz'],
25,['Nina Simone'],['You’ve Got to Learn (Live)'],['7.5'],['https://pitchfork.com/reviews/albums/nina-simone-youve-got-to-learn-live/'],['jazz'],
26,['Ceramic Dog'],['Connection'],['6.7'],['https://pitchfork.com/reviews/albums/ceramic-dog-marc-ribot-connection/'],['jazz'],
27,['John Carroll Kirby'],['Blowout'],['7.1'],['https://pitchfork.com/reviews/albums/john-carroll-kirby-blowout/'],['jazz'],
28,['Pat Metheny'],['Dream Box'],['7.6'],['https://pitchfork.com/reviews/albums/pat-metheny-dream-box/'],['jazz'],
29,['Sonny Rollins'],['Go West!: The Contemporary Records Albums'],['8.0'],['https://pitchfork.com/reviews/albums/sonny-rollins-go-west-the-contemporary-records-albums/'],['jazz'],
30,['Bettye LaVette'],['LaVette!'],['7.7'],['https://pitchfork.com/reviews/albums/bettye-lavette-lavette/'],['jazz'],
31,['Greg Foat'],['Dolphin'],['7.4'],['https://pitchfork.com/reviews/albums/greg-foat-dolphin/'],['jazz'],
32,['Kassa Overall'],['Animals'],['6.7'],['https://pitchfork.com/reviews/albums/kassa-overall-animals/'],['jazz'],
33,['Aja Monet'],['When the Poems Do What They Do'],['7.4'],['https://pitchfork.com/reviews/albums/aja-monet-when-the-poems-do-what-they-do/'],['jazz'],
34,['Speakers Corner Quartet'],['Further Out Than the Edge'],['7.1'],['https://pitchfork.com/reviews/albums/speakers-corner-quartet-further-out-than-the-edge/'],['jazz'],
35,['Asma Maroof'],['The Sport of Love'],['6.8'],['https://pitchfork.com/reviews/albums/asma-maroof-patrick-belaga-tapiwa-svosve-the-sport-of-love/'],['jazz'],
36,['Bill Evans'],"['Treasures: Solo, Trio and Orchestra Recordings from Denmark (1965-1969)']",['8.1'],['https://pitchfork.com/reviews/albums/bill-evans-treasures-solo-trio-and-orchestra-recordings-from-denmark-1965-1969/'],['jazz'],
37,['Natural Information Society'],['Since Time Is Gravity'],['7.7'],['https://pitchfork.com/reviews/albums/natural-information-society-since-time-is-gravity/'],['jazz'],
38,['Dinner Party'],['Enigmatic Society'],['7.6'],['https://pitchfork.com/reviews/albums/dinner-party-enigmatic-society/'],['jazz'],
39,['Brandee Younger'],['Brand New Life'],['7.6'],['https://pitchfork.com/reviews/albums/brandee-younger-brand-new-life/'],['jazz'],
40,['Scree'],['Jasmine on a Night in July\xa0'],['7.7'],['https://pitchfork.com/reviews/albums/scree-jasmine-on-a-night-in-july/'],['jazz'],
41,['Arooj Aftab'],['Love in Exile'],['8.5'],['https://pitchfork.com/reviews/albums/arooj-aftab-vijay-iyer-shahzad-ismaily-love-in-exile/'],['jazz'],
42,['Angel Bat Dawid'],['Requiem for Jazz\xa0'],['8.0'],['https://pitchfork.com/reviews/albums/angel-bat-dawid-requiem-for-jazz/'],['jazz'],
43,['Sam Gendel'],['Cookup'],['7.0'],['https://pitchfork.com/reviews/albums/sam-gendel-cookup/'],['jazz'],
44,['John Lee Hooker'],['Burnin’ (Expanded Edition)'],['8.5'],['https://pitchfork.com/reviews/albums/john-lee-hooker-burnin-expanded-edition/'],['jazz'],
45,['Total Refreshment Centre'],['Transmissions From Total Refreshment Centre'],['7.3'],['https://pitchfork.com/reviews/albums/total-refreshment-centre-transmissions-from-total-refreshment-centre/'],['jazz'],
46,['George'],['Letters to George'],['7.0'],['https://pitchfork.com/reviews/albums/george-letters-to-george/'],['jazz'],
47,['Mette Henriette'],['Drifting'],['7.1'],['https://pitchfork.com/reviews/albums/mette-henriette-drifting/'],['jazz'],
48,['Sebastian Rochford'],['A Short Diary'],['6.8'],['https://pitchfork.com/reviews/albums/sebastian-rochford-kit-downes-a-short-diary/'],['jazz'],
49,['The Tony Williams Lifetime'],['Emergency!'],['9.0'],['https://pitchfork.com/reviews/albums/the-tony-williams-lifetime-emergency/'],['jazz'],
50,['Leland Whitty'],['Anyhow'],['7.5'],['https://pitchfork.com/reviews/albums/leland-whitty-anyhow/'],['jazz'],
51,['Bill Frisell'],['Four'],['7.4'],['https://pitchfork.com/reviews/albums/bill-frisell-four/'],['jazz'],
52,['Dickie Landry'],['Solos'],['7.6'],['https://pitchfork.com/reviews/albums/dickie-landry-solos-4-cuts-placed-in-a-first-quarter-having-been-built-on-sand/'],['jazz'],
53,['Frank Sinatra'],['Watertown'],['8.9'],['https://pitchfork.com/reviews/albums/frank-sinatra-watertown/'],['jazz'],
54,['Fievel Is Glauque'],['Flaming Swords'],['8.1'],['https://pitchfork.com/reviews/albums/fievel-is-glauque-flaming-swords/'],['jazz'],
55,['STR4TA'],['STR4TASFEAR'],['7.0'],['https://pitchfork.com/reviews/albums/str4ta-str4tasfear/'],['jazz'],
56,['Hedvig Mollestad'],['Maternity Beat'],['7.2'],['https://pitchfork.com/reviews/albums/hedvig-mollestad-and-trondheim-jazz-orchestra-maternity-beat/'],['jazz'],
57,['Jeff Parker'],['Mondays at the Enfield Tennis Academy'],['8.4'],['https://pitchfork.com/reviews/albums/jeff-parker-mondays-at-the-enfield-tennis-academy/'],['jazz'],
58,['Anja Lauvdal'],['From a Story Now Lost'],['7.3'],['https://pitchfork.com/reviews/albums/anja-lauvdal-from-a-story-now-lost/'],['jazz'],
59,['Sam Gendel'],['Blueblue'],['7.6'],['https://pitchfork.com/reviews/albums/sam-gendel-blueblue/'],['jazz'],
60,['Basher'],['Doubles'],['7.0'],['https://pitchfork.com/reviews/albums/basher-doubles/'],['jazz'],
61,['Macula Dog'],['Orange 2'],['7.7'],['https://pitchfork.com/reviews/albums/macula-dog-orange-2/'],['jazz'],
