,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Infant Island'],['Obsidian Wreath'],['7.6'],['https://pitchfork.com/reviews/albums/infant-island-obsidian-wreath/'],['metal'],
1,['Full of Hell'],['When No Birds Sang'],['7.6'],['https://pitchfork.com/reviews/albums/full-of-hell-nothing-when-no-birds-sang/'],['metal'],
2,['Ragana'],['Desolation’s Flower'],['8.3'],['https://pitchfork.com/reviews/albums/ragana-desolations-flower/'],['metal'],
3,['Heatmiser'],['The Music of Heatmiser'],['7.5'],['https://pitchfork.com/reviews/albums/heatmiser-the-music-of-heatmiser/'],['metal'],
4,['The Darkness'],['Permission to Land… Again (20th Anniversary Edition)'],['8.2'],['https://pitchfork.com/reviews/albums/the-darkness-permission-to-land-again-20th-anniversary-edition/'],['metal'],
5,['Baroness'],['Stone'],['6.2'],['https://pitchfork.com/reviews/albums/baroness-stone/'],['metal'],
6,['Tomb Mold'],['The Enduring Spirit'],['8.6'],['https://pitchfork.com/reviews/albums/tomb-mold-the-enduring-spirit/'],['metal'],
7,['Horrendous'],['Ontological Mysterium'],['7.8'],['https://pitchfork.com/reviews/albums/horrendous-ontological-mysterium/'],['metal'],
8,['Outer Heaven'],['Infinite Psychic Depths'],['7.7'],['https://pitchfork.com/reviews/albums/outer-heaven-infinite-psychic-depths/'],['metal'],
9,['Godflesh'],['Purge'],['7.4'],['https://pitchfork.com/reviews/albums/godflesh-purge/'],['metal'],
10,['Bell Witch'],['Future’s Shadow Part 1: The Clandestine Gate'],['7.5'],['https://pitchfork.com/reviews/albums/bell-witch-futures-shadow-part-1-the-clandestine-gate/'],['metal'],
11,['Jesus Piece'],['...So Unknown'],['7.3'],['https://pitchfork.com/reviews/albums/jesus-piece-so-unknown/'],['metal'],
12,['Metallica'],['72 Seasons'],['6.4'],['https://pitchfork.com/reviews/albums/metallica-72-seasons/'],['metal'],
13,['Ada Rook '],['Rookie’s Bustle'],['7.1'],['https://pitchfork.com/reviews/albums/ada-rook-rookies-bustle/'],['metal'],
14,['Liturgy'],['93696'],['8.0'],['https://pitchfork.com/reviews/albums/liturgy-93696/'],['metal'],
15,['Zulu'],['A New Tomorrow'],['7.8'],['https://pitchfork.com/reviews/albums/zulu-a-new-tomorrow/'],['metal'],
16,['Ulthar'],['Anthronomicon'],['7.6'],['https://pitchfork.com/reviews/albums/ulthar-anthronomicon-helionomicon/'],['metal'],
17,['Pigs Pigs Pigs Pigs Pigs Pigs Pigs'],['Land of Sleeper'],['7.5'],['https://pitchfork.com/reviews/albums/pigs-pigs-pigs-pigs-pigs-pigs-pigs-land-of-sleeper/'],['metal'],
18,['Dryad'],['The Abyssal Plain'],['7.4'],['https://pitchfork.com/reviews/albums/dryad-the-abyssal-plain/'],['metal'],
19,['Oozing Wound'],['We Cater to Cowards'],['7.4'],['https://pitchfork.com/reviews/albums/oozing-wound-we-cater-to-cowards/'],['metal'],
20,['Fucked Up'],['One Day'],['7.5'],['https://pitchfork.com/reviews/albums/fucked-up-one-day/'],['metal'],
21,['Lykotonon'],['Promethean Pathology\xa0'],['7.3'],['https://pitchfork.com/reviews/albums/lykotonon-promethean-pathology/'],['metal'],
22,['Fleshwater'],['We’re Not Here to Be Loved'],['7.5'],['https://pitchfork.com/reviews/albums/fleshwater-were-not-here-to-be-loved/'],['metal'],
23,['Dream Unending'],['Song of Salvation'],['8.5'],['https://pitchfork.com/reviews/albums/dream-unending-song-of-salvation/'],['metal'],
24,['Darkthrone'],['Astral Fortress\xa0'],['6.9'],['https://pitchfork.com/reviews/albums/darkthrone-astral-fortress/'],['metal'],
25,['Worm'],['Bluenothing EP'],['7.3'],['https://pitchfork.com/reviews/albums/worm-bluenothing-ep/'],['metal'],
26,['Sumerlands'],['Dreamkiller'],['7.8'],['https://pitchfork.com/reviews/albums/sumerlands-dreamkiller/'],['metal'],
27,['Autopsy'],['Morbidity Triumphant'],['7.0'],['https://pitchfork.com/reviews/albums/autopsy-morbidity-triumphant/'],['metal'],
28,['Mamaleek'],['Diner Coffee'],['7.6'],['https://pitchfork.com/reviews/albums/mamaleek-diner-coffee/'],['metal'],
29,['Melvins'],['Houdini'],['7.7'],['https://pitchfork.com/reviews/albums/melvins-houdini/'],['metal'],
30,['Holy Fawn'],['Dimensional Bleed'],['6.4'],['https://pitchfork.com/reviews/albums/holy-fawn-dimensional-bleed/'],['metal'],
31,['Russian Circles'],['Gnosis'],['7.5'],['https://pitchfork.com/reviews/albums/russian-circles-gnosis/'],['metal'],
32,['Ithaca'],['They Fear Us'],['7.4'],['https://pitchfork.com/reviews/albums/ithaca-they-fear-us/'],['metal'],
33,['Scarcity'],['Aveilut'],['7.6'],['https://pitchfork.com/reviews/albums/scarcity-aveilut/'],['metal'],
