,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Justin Timberlake'],['Everything I Thought It Was'],['4.9'],['https://pitchfork.com/reviews/albums/justin-timberlake-everything-i-thought-it-was/'],['pop'],
1,['Ariana Grande'],['eternal sunshine'],['7.2'],['https://pitchfork.com/reviews/albums/ariana-grande-eternal-sunshine/'],['pop'],
2,['SWV'],['It’s About Time'],['8.6'],['https://pitchfork.com/reviews/albums/swv-its-about-time/'],['pop'],
3,['Bleachers'],['Bleachers'],['6.4'],['https://pitchfork.com/reviews/albums/bleachers-bleachers/'],['pop'],
4,['Mixmaster Morris'],['Quiet Logic'],['8.2'],['https://pitchfork.com/reviews/albums/mixmaster-morris-jonah-sharp-haruomi-hosono-quiet-logic/'],['pop'],
5,['Erika de Casier'],['Still'],['7.4'],['https://pitchfork.com/reviews/albums/erika-de-casier-still/'],['pop'],
6,['Jennifer Lopez'],['This Is Me…Now'],['6.6'],['https://pitchfork.com/reviews/albums/jennifer-lopez-this-is-me-now/'],['pop'],
7,['serpentwithfeet'],['GRIP'],['7.7'],['https://pitchfork.com/reviews/albums/serpentwithfeet-grip/'],['pop'],
8,['Mariah Carey'],['The Emancipation of Mimi'],['9.0'],['https://pitchfork.com/reviews/albums/mariah-carey-the-emancipation-of-mimi/'],['pop'],
9,['Mk.gee'],['Two Star & the Dream Police'],['7.8'],['https://pitchfork.com/reviews/albums/mk-gee-two-star-and-the-dream-police/'],['pop'],
10,['Ana Tijoux'],['Vida'],['7.3'],['https://pitchfork.com/reviews/albums/ana-tijoux-vida/'],['pop'],
11,['Usher'],['Coming Home'],['8.0'],['https://pitchfork.com/reviews/albums/usher-coming-home/'],['pop'],
12,['Kelela'],"['RAVE:N, the Remixes']",['7.8'],['https://pitchfork.com/reviews/albums/kelela-raven-the-remixes/'],['pop'],
13,['Smerz'],['Allina'],['7.4'],['https://pitchfork.com/reviews/albums/smerz-allina-ep/'],['pop'],
14,['UMI'],['Talking to the Wind'],['6.8'],['https://pitchfork.com/reviews/albums/umi-talking-to-the-wind/'],['pop'],
15,['Kali Uchis'],['Orquídeas'],['8.4'],['https://pitchfork.com/reviews/albums/kali-uchis-orquideas/'],['pop'],
16,['Aprxel'],['Tapetumlucidum<3'],['7.0'],['https://pitchfork.com/reviews/albums/aprxel-tapetumlucidum/'],['pop'],
17,['Acopia'],['Acopia'],['7.4'],['https://pitchfork.com/reviews/albums/acopia-acopia/'],['pop'],
18,['Niecy Blues'],['Exit Simulation'],['7.9'],['https://pitchfork.com/reviews/albums/niecy-blues-exit-simulation/'],['pop'],
19,['a.s.o.'],['a.s.o.'],['7.8'],['https://pitchfork.com/reviews/albums/aso-aso/'],['pop'],
20,['Tate McRae'],['THINK LATER'],['5.9'],['https://pitchfork.com/reviews/albums/tate-mcrae-think-later/'],['pop'],
21,['Elzhi'],['Heavy Vibrato'],['7.1'],['https://pitchfork.com/reviews/albums/elzhi-oh-no-heavy-vibrato/'],['pop'],
22,['Priya Ragu'],['Santhosam'],['7.0'],['https://pitchfork.com/reviews/albums/priya-ragu-santhosam/'],['pop'],
23,['Mariah the Scientist'],['To Be Eaten Alive'],['6.3'],['https://pitchfork.com/reviews/albums/mariah-the-scientist-to-be-eaten-alive/'],['pop'],
24,['Baby Queen'],['Quarter Life Crisis'],['6.7'],['https://pitchfork.com/reviews/albums/baby-queen-quarter-life-crisis/'],['pop'],
25,['Mon Laferte'],['Autopoiética'],['7.5'],['https://pitchfork.com/reviews/albums/mon-laferte-autopoietica/'],['pop'],
26,['Ace of Base'],['The Sign'],['8.0'],['https://pitchfork.com/reviews/albums/ace-of-base-the-sign/'],['pop'],
27,['Jockstrap'],['I<3UQTINVU'],['7.5'],['https://pitchfork.com/reviews/albums/jockstrap-i3uqtinvu/'],['pop'],
28,['PinkPantheress'],['Heaven knows'],['6.4'],['https://pitchfork.com/reviews/albums/pink-pantheress-heaven-knows/'],['pop'],
29,['María José Llergo'],['Ultrabelleza'],['7.9'],['https://pitchfork.com/reviews/albums/maria-jose-llergo-ultrabelleza/'],['pop'],
30,['Buju Banton'],['’Til Shiloh'],['9.4'],['https://pitchfork.com/reviews/albums/buju-banton-til-shiloh/'],['pop'],
31,['Tkay Maidza'],['Sweet Justice'],['7.6'],['https://pitchfork.com/reviews/albums/tkay-maidza-sweet-justice/'],['pop'],
32,['Brent Faiyaz  '],['Larger Than Life'],['7.0'],['https://pitchfork.com/reviews/albums/brent-faiyaz-larger-than-life/'],['pop'],
33,['Taylor Swift'],['1989 (Taylor’s Version)'],['7.7'],['https://pitchfork.com/reviews/albums/taylor-swift-1989-taylors-version/'],['pop'],
34,['Sampha'],['Lahai'],['7.0'],['https://pitchfork.com/reviews/albums/sampha-lahai/'],['pop'],
35,['Prince'],['Diamonds and Pearls (Super Deluxe Edition)'],['7.8'],['https://pitchfork.com/reviews/albums/prince-and-the-new-power-generation-diamonds-and-pearls-super-deluxe-edition/'],['pop'],
36,['Faye Wong'],['Faye Wong: 讨好自己 Please Myself / 菲靡靡之音 Decadent Sound of Faye / Di-Dar / 浮躁 Fuzao'],['7.4'],['https://pitchfork.com/reviews/albums/faye-wong-please-myself-decadent-sound-of-faye-di-dar-fuzao/'],['pop'],
37,['Jim Jones'],['Harlem: Diary of a Summer'],['8.1'],['https://pitchfork.com/reviews/albums/jim-jones-harlem-diary-of-a-summer/'],['pop'],
38,['Jane Remover'],['Census Designated'],['7.8'],['https://pitchfork.com/reviews/albums/jane-remover-census-designated/'],['pop'],
