,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Devon Welsh'],['Come With Me If You Want to Live'],['6.8'],['https://pitchfork.com/reviews/albums/devon-welsh-come-with-me-if-you-want-to-live/'],['electronic'],
1,['Four Tet'],['Three'],['7.8'],['https://pitchfork.com/reviews/albums/four-tet-three/'],['electronic'],
2,['Heavee'],['Unleash'],['7.5'],['https://pitchfork.com/reviews/albums/heavee-unleash/'],['electronic'],
3,['DJ Anderson do Paraíso'],['Querid\u200bã\u200bo'],['7.8'],['https://pitchfork.com/reviews/albums/dj-anderson-do-paraiso-queridao/'],['electronic'],
4,['Bolis Pupul'],['Letter to Yu'],['8.0'],['https://pitchfork.com/reviews/albums/bolis-pupul-letter-to-yu/'],['electronic'],
5,['Ben Frost'],['Scope Neglect'],['7.3'],['https://pitchfork.com/reviews/albums/ben-frost-scope-neglect/'],['electronic'],
6,['aya'],['Lip Flip'],['7.0'],['https://pitchfork.com/reviews/albums/aya-lip-flip-ep/'],['electronic'],
7,['Mixmaster Morris'],['Quiet Logic'],['8.2'],['https://pitchfork.com/reviews/albums/mixmaster-morris-jonah-sharp-haruomi-hosono-quiet-logic/'],['electronic'],
8,['Wrecked Lightship'],['Antiposition'],['7.7'],['https://pitchfork.com/reviews/albums/wrecked-lightship-antiposition/'],['electronic'],
9,['Geotic'],['The Anchorite'],['7.0'],['https://pitchfork.com/reviews/albums/geotic-the-anchorite/'],['electronic'],
10,['Laryssa Kim'],['Contezza'],['7.8'],['https://pitchfork.com/reviews/albums/laryssa-kim-contezza/'],['electronic'],
11,['Rafael Toral'],['Spectral Evolution'],['8.0'],['https://pitchfork.com/reviews/albums/rafael-toral-spectral-evolution/'],['electronic'],
12,['Amiture'],['Mother Engine'],['7.2'],['https://pitchfork.com/reviews/albums/amiture-mother-engine/'],['electronic'],
13,['Chromeo'],['Adult Contemporary'],['6.3'],['https://pitchfork.com/reviews/albums/chromeo-adult-contemporary/'],['electronic'],
14,['Jonny From Space'],['back then I didn’t but now I do'],['7.5'],['https://pitchfork.com/reviews/albums/jonny-from-space-back-then-i-didnt-but-now-i-do/'],['electronic'],
15,['Ariel Kalma'],['The Closest Thing to Silence'],['8.0'],['https://pitchfork.com/reviews/albums/ariel-kalma-jeremiah-chiu-and-marta-sofia-honer-the-closest-thing-to-silence/'],['electronic'],
16,['Shygirl '],['Club Shy'],['7.5'],['https://pitchfork.com/reviews/albums/shygirl-club-shy-ep/'],['electronic'],
17,['Helado Negro'],['Phasor'],['8.3'],['https://pitchfork.com/reviews/albums/helado-negro-phasor/'],['electronic'],
18,['Microstoria'],['init ding + _snd'],['8.3'],['https://pitchfork.com/reviews/albums/microstoria-init-ding-snd/'],['electronic'],
19,['Burial'],['Dreamfear / Boy Sent From Above'],['7.6'],['https://pitchfork.com/reviews/albums/burial-dreamfear-boy-sent-from-above-ep/'],['electronic'],
20,['Jeff Mills'],"['Live at the Liquid Room, Tokyo']",['10'],['https://pitchfork.com/reviews/albums/jeff-mills-live-at-the-liquid-room-tokyo/'],['electronic'],
21,['Jake Muir'],['Bathhouse Blues'],['8.0'],['https://pitchfork.com/reviews/albums/jake-muir-bathhouse-blues/'],['electronic'],
22,['Astrid Sonne'],['Great Doubt'],['7.7'],['https://pitchfork.com/reviews/albums/astrid-sonne-great-doubt/'],['electronic'],
23,['Donato Dozzy'],['Magda'],['7.3'],['https://pitchfork.com/reviews/albums/donato-dozzy-magda/'],['electronic'],
24,['Loukeman'],['Sd-2'],['7.0'],['https://pitchfork.com/reviews/albums/loukeman-sd-2/'],['electronic'],
25,['Conway the Machine'],['Palermo'],['6.6'],['https://pitchfork.com/reviews/albums/conway-the-machine-wun-two-palermo/'],['electronic'],
26,['Montañera'],['A Flor de Piel'],['8.0'],['https://pitchfork.com/reviews/albums/montanera-a-flor-de-piel/'],['electronic'],
27,['Khadija Al Hanafi'],['Slime Patrol 2'],['7.5'],['https://pitchfork.com/reviews/albums/khadija-al-hanafi-slime-patrol-2/'],['electronic'],
28,['Salamanda'],['In Parallel'],['7.1'],['https://pitchfork.com/reviews/albums/salamanda-in-parallel/'],['electronic'],
29,['박혜진 Park Hye Jin'],['Sail the Seven Seas'],['6.6'],['https://pitchfork.com/reviews/albums/park-hye-jin-sail-the-seven-seas/'],['electronic'],
30,['Brian Eno'],['Ambient 1: Music for Airports'],['10'],['https://pitchfork.com/reviews/albums/brian-eno-ambient-1-music-for-airports/'],['electronic'],
31,['Pauline Anna Strom'],"['Echoes, Spaces, Lines']",['8.3'],['https://pitchfork.com/reviews/albums/pauline-anna-strom-echoes-spaces-lines/'],['electronic'],
32,['Sama’ Abdulhadi'],['Fabric Presents Sama’ Abdulhadi'],['7.2'],['https://pitchfork.com/reviews/albums/sama-abdulhadi-fabric-presents-sama-abdulhadi/'],['electronic'],
33,['Acopia'],['Acopia'],['7.4'],['https://pitchfork.com/reviews/albums/acopia-acopia/'],['electronic'],
34,['Honour'],['Àlááfíà'],['7.6'],['https://pitchfork.com/reviews/albums/honour-alaafia/'],['electronic'],
35,['Glasser'],['crux'],['7.1'],['https://pitchfork.com/reviews/albums/glasser-crux/'],['electronic'],
36,['a.s.o.'],['a.s.o.'],['7.8'],['https://pitchfork.com/reviews/albums/aso-aso/'],['electronic'],
37,['Evian Christ'],['Revanchist'],['7.5'],['https://pitchfork.com/reviews/albums/evian-christ-revanchist/'],['electronic'],
38,['Ricardo Villalobos'],['Alcachofa (2023 Reissue)'],['8.3'],['https://pitchfork.com/reviews/albums/ricardo-villalobos-alcachofa-2023-reissue/'],['electronic'],
39,['Pelada'],['Ahora Más Que Nunca'],['7.7'],['https://pitchfork.com/reviews/albums/pelada-ahora-mas-que-nunca/'],['electronic'],
40,['Lauren Flax'],['Liz & Lauren EP'],['7.6'],['https://pitchfork.com/reviews/albums/lauren-flax-liz-and-lauren-ep/'],['electronic'],
41,['DJ Ramon Sucesso'],['Sexta dos Crias'],['7.7'],['https://pitchfork.com/reviews/albums/dj-ramon-sucesso-sexta-dos-crias/'],['electronic'],
42,['Snow Strippers'],['Night Killaz Vol.1 EP'],['6.0'],['https://pitchfork.com/reviews/albums/snow-strippers-night-killaz-vol1-ep/'],['electronic'],
43,['DJ Manny'],['Hypnotized'],['7.6'],['https://pitchfork.com/reviews/albums/dj-manny-hypnotized/'],['electronic'],
44,['Bryan Ferry'],['Mamouna (Deluxe)'],['8.0'],['https://pitchfork.com/reviews/albums/bryan-ferry-mamouna-deluxe/'],['electronic'],
45,['Rainy Miller'],['A Grisaille Wedding'],['7.7'],['https://pitchfork.com/reviews/albums/rainy-miller-space-afrika-a-grisaille-wedding/'],['electronic'],
46,['Frost Children'],['Hearth Room'],['7.4'],['https://pitchfork.com/reviews/albums/frost-children-hearth-room/'],['electronic'],
47,['H31R'],['HeadSpace'],['7.8'],['https://pitchfork.com/reviews/albums/h31r-headspace/'],['electronic'],
48,['Ali Sethi'],['Intiha'],['7.2'],['https://pitchfork.com/reviews/albums/ali-sethi-nicolas-jaar-intiha/'],['electronic'],
49,['Daft Punk'],['Random Access Memories (Drumless Edition)'],['5.4'],['https://pitchfork.com/reviews/albums/daft-punk-random-access-memories-drumless-edition/'],['electronic'],
50,['Aïsha Devi'],['Death Is Home'],['7.4'],['https://pitchfork.com/reviews/albums/aisha-devi-death-is-home/'],['electronic'],
51,['Jockstrap'],['I<3UQTINVU'],['7.5'],['https://pitchfork.com/reviews/albums/jockstrap-i3uqtinvu/'],['electronic'],
52,['PinkPantheress'],['Heaven knows'],['6.4'],['https://pitchfork.com/reviews/albums/pink-pantheress-heaven-knows/'],['electronic'],
53,['ML Buch'],['Suntub'],['8.0'],['https://pitchfork.com/reviews/albums/ml-buch-suntub/'],['electronic'],
54,['Sarah Davachi'],['Long Gradus'],['7.4'],['https://pitchfork.com/reviews/albums/sarah-davachi-long-gradus/'],['electronic'],
55,['Actress'],['LXXXVIII'],['7.4'],['https://pitchfork.com/reviews/albums/actress-lxxxviii/'],['electronic'],
56,['The Serfs'],['Half Eaten by Dogs'],['7.0'],['https://pitchfork.com/reviews/albums/the-serfs-half-eaten-by-dogs/'],['electronic'],
57,['Marina Herlop'],['Nekkuja'],['8.0'],['https://pitchfork.com/reviews/albums/marina-herlop-nekkuja/'],['electronic'],
58,['New Age Doom'],['There Is No End'],['7.6'],['https://pitchfork.com/reviews/albums/new-age-doom-tuvaband-there-is-no-end/'],['electronic'],
59,['DJ Shadow'],['Action Adventure'],['6.9'],['https://pitchfork.com/reviews/albums/dj-shadow-action-adventure/'],['electronic'],
60,['Sofia Kourtesis'],['Madres'],['8.5'],['https://pitchfork.com/reviews/albums/sofia-kourtesis-madres/'],['electronic'],
61,['Lee Gamble'],['Models'],['7.3'],['https://pitchfork.com/reviews/albums/lee-gamble-models/'],['electronic'],
62,['Sparkle Division'],['Foxy'],['7.5'],['https://pitchfork.com/reviews/albums/sparkle-division-foxy/'],['electronic'],
63,['Judgitzu'],['Sator Arepo'],['7.1'],['https://pitchfork.com/reviews/albums/judgitzu-sator-arepo/'],['electronic'],
64,['Olof Dreijer'],['Rosa Rugosa EP'],['7.7'],['https://pitchfork.com/reviews/albums/olof-dreijer-rosa-rugosa-ep/'],['electronic'],
65,['Green-House'],['A Host for All Kinds of Life'],['7.6'],['https://pitchfork.com/reviews/albums/green-house-a-host-for-all-kinds-of-life/'],['electronic'],
66,['Call Super'],['Eulo Cramps'],['7.9'],['https://pitchfork.com/reviews/albums/call-super-eulo-cramps/'],['electronic'],
67,['The Waitresses'],['Wasn’t Tomorrow Wonderful?'],['8.2'],['https://pitchfork.com/reviews/albums/the-waitresses-wasnt-tomorrow-wonderful/'],['electronic'],
68,['Hiroshi Yoshimura'],['Surround'],['9.0'],['https://pitchfork.com/reviews/albums/hiroshi-yoshimura-surround/'],['electronic'],
69,['Jlin'],['Perspective EP'],['7.9'],['https://pitchfork.com/reviews/albums/jlin-perspective-ep/'],['electronic'],
70,['Pangaea'],['Changing Channels'],['8.3'],['https://pitchfork.com/reviews/albums/pangaea-changing-channels/'],['electronic'],
71,['KMRU'],['Dissolution Grip'],['7.2'],['https://pitchfork.com/reviews/albums/kmru-dissolution-grip/'],['electronic'],
72,['Setting'],['Shone a Rainbow Light On'],['7.1'],['https://pitchfork.com/reviews/albums/setting-shone-a-rainbow-light-on/'],['electronic'],
73,['Purelink'],['Signs'],['7.8'],['https://pitchfork.com/reviews/albums/purelink-signs/'],['electronic'],
74,['Loraine James'],['Gentle Confrontation'],['8.0'],['https://pitchfork.com/reviews/albums/loraine-james-gentle-confrontation/'],['electronic'],
75,['Laurel Halo'],['Atlas'],['8.1'],['https://pitchfork.com/reviews/albums/laurel-halo-atlas/'],['electronic'],
76,['Alan Palomo'],['World of Hassle'],['7.6'],['https://pitchfork.com/reviews/albums/alan-palomo-world-of-hassle/'],['electronic'],
77,['Octo Octa'],['Dreams of a Dancefloor EP'],['7.5'],['https://pitchfork.com/reviews/albums/octo-octa-dreams-of-a-dancefloor-ep/'],['electronic'],
78,['DJ Sabrina the Teenage DJ'],['Destiny'],['7.9'],['https://pitchfork.com/reviews/albums/dj-sabrina-the-teenage-dj-destiny/'],['electronic'],
79,['Eli Escobar'],['The Beach Album'],['7.8'],['https://pitchfork.com/reviews/albums/eli-escobar-the-beach-album/'],['electronic'],
