,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['John Lurie'],['Painting With John (Music From the Original TV Series)'],['8.0'],['https://pitchfork.com/reviews/albums/john-lurie-painting-with-john-music-from-the-original-tv-series/'],['experimental'],
1,['Princ\u200b€\u200bss'],['Princ\u200b€\u200bss'],['7.6'],['https://pitchfork.com/reviews/albums/princess-princess/'],['experimental'],
2,['Harry Partch'],['The World of Harry Partch'],['9.0'],['https://pitchfork.com/reviews/albums/harry-partch-the-world-of-harry-partch/'],['experimental'],
3,['Moor Mother'],['The Great Bailout'],['7.8'],['https://pitchfork.com/reviews/albums/moor-mother-the-great-bailout/'],['experimental'],
4,['Ben Frost'],['Scope Neglect'],['7.3'],['https://pitchfork.com/reviews/albums/ben-frost-scope-neglect/'],['experimental'],
5,['Staś Czekalski'],['Przygody'],['7.0'],['https://pitchfork.com/reviews/albums/stas-czekalaski-przygody/'],['experimental'],
6,['Kali Malone'],['All Life Long'],['8.3'],['https://pitchfork.com/reviews/albums/kali-malone-all-life-long/'],['experimental'],
7,['Emahoy Tsege Mariam Gebru'],['Souvenirs'],['9.0'],['https://pitchfork.com/reviews/albums/emahoy-tsegue-maryam-guebrou-souvenirs/'],['experimental'],
8,['Laetitia Sadier'],['Rooting for Love'],['7.5'],['https://pitchfork.com/reviews/albums/laetitia-sadier-rooting-for-love/'],['experimental'],
9,['Ariel Kalma'],['The Closest Thing to Silence'],['8.0'],['https://pitchfork.com/reviews/albums/ariel-kalma-jeremiah-chiu-and-marta-sofia-honer-the-closest-thing-to-silence/'],['experimental'],
10,['Lee “Scratch” Perry'],['King Perry'],['5.9'],['https://pitchfork.com/reviews/albums/lee-scratch-perry-king-perry/'],['experimental'],
11,['Nailah Hunter'],['Lovegaze'],['7.9'],['https://pitchfork.com/reviews/albums/nailah-hunter-lovegaze/'],['experimental'],
12,['Philip Glass'],['Philip Glass Solo'],['8.0'],['https://pitchfork.com/reviews/albums/philip-glass-philip-glass-solo/'],['experimental'],
13,['Joe Hisaishi'],['The Boy and the Heron (Original Soundtrack)'],['7.8'],['https://pitchfork.com/reviews/albums/joe-hisaishi-the-boy-and-the-heron-original-soundtrack/'],['experimental'],
14,['Astrid Sonne'],['Great Doubt'],['7.7'],['https://pitchfork.com/reviews/albums/astrid-sonne-great-doubt/'],['experimental'],
15,['Cowboy Sadness'],['Selected Jambient Works Vol. 1'],['7.6'],['https://pitchfork.com/reviews/albums/cowboy-sadness-selected-jambient-works-vol-1/'],['experimental'],
16,['Khadija Al Hanafi'],['Slime Patrol 2'],['7.5'],['https://pitchfork.com/reviews/albums/khadija-al-hanafi-slime-patrol-2/'],['experimental'],
17,['Chuquimamani-Condori'],['DJ E'],['8.0'],['https://pitchfork.com/reviews/albums/chuquimamani-condori-dj-e/'],['experimental'],
18,['Aprxel'],['Tapetumlucidum<3'],['7.0'],['https://pitchfork.com/reviews/albums/aprxel-tapetumlucidum/'],['experimental'],
19,['Niecy Blues'],['Exit Simulation'],['7.9'],['https://pitchfork.com/reviews/albums/niecy-blues-exit-simulation/'],['experimental'],
20,['Honour'],['Àlááfíà'],['7.6'],['https://pitchfork.com/reviews/albums/honour-alaafia/'],['experimental'],
21,['Virginia Astley'],['The Singing Places'],['7.6'],['https://pitchfork.com/reviews/albums/virginia-astley-the-singing-places/'],['experimental'],
22,['Jules Reidy'],['Trances'],['7.8'],['https://pitchfork.com/reviews/albums/jules-reidy-trances/'],['experimental'],
23,['Tara Clerkin Trio'],['On the Turning Ground EP'],['7.3'],['https://pitchfork.com/reviews/albums/tara-clerkin-trio-on-the-turning-ground-ep/'],['experimental'],
24,['DJ Ramon Sucesso'],['Sexta dos Crias'],['7.7'],['https://pitchfork.com/reviews/albums/dj-ramon-sucesso-sexta-dos-crias/'],['experimental'],
25,['Tar Of'],['Confidence Freaks Me Out'],['7.1'],['https://pitchfork.com/reviews/albums/tar-of-confidence-freaks-me-out/'],['experimental'],
26,['Reverend Kristin Michael Hayter'],['SAVED!'],['7.5'],['https://pitchfork.com/reviews/albums/reverend-kristin-michael-hayter-saved/'],['experimental'],
27,['Derek Bailey'],['Duo in Concert'],['7.8'],['https://pitchfork.com/reviews/albums/derek-bailey-paul-motian-duo-in-concert/'],['experimental'],
28,['Ingri Høyland'],['Ode to Stone'],['7.4'],['https://pitchfork.com/reviews/albums/ingri-hoyland-ode-to-stone/'],['experimental'],
29,['Thandi Ntuli'],['Rainbow Revisited'],['7.8'],['https://pitchfork.com/reviews/albums/thandi-ntuli-carlos-nino-rainbow-revisited/'],['experimental'],
