,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Waxahatchee'],['Tigers Blood'],['8.8'],['https://pitchfork.com/reviews/albums/waxahatchee-tigers-blood/'],['folk'],
1,['Haux'],['Blue Angeles'],['7.5'],['https://pitchfork.com/reviews/albums/haux-blue-angeles/'],['folk'],
2,['Kacey Musgraves'],['Deeper Well'],['6.8'],['https://pitchfork.com/reviews/albums/kacey-musgraves-deeper-well/'],['folk'],
3,['Hannah Frances'],['Keeper of the Shepherd'],['8.2'],['https://pitchfork.com/reviews/albums/hannah-frances-the-keeper-of-the-shepherd/'],['folk'],
4,['Faye Webster'],['Underdressed at the Symphony'],['7.5'],['https://pitchfork.com/reviews/albums/faye-webster-underdressed-at-the-symphony/'],['folk'],
5,['Ghost'],['Ghost / Second Time Around / Temple Stone'],['8.0'],['https://pitchfork.com/reviews/albums/ghost-second-time-around-temple-stone-ghost/'],['folk'],
6,['Loving'],['Any Light'],['7.1'],['https://pitchfork.com/reviews/albums/loving-any-light/'],['folk'],
7,['Itasca'],['Imitation of War'],['7.4'],['https://pitchfork.com/reviews/albums/itasca-imitation-of-war/'],['folk'],
8,['Madi Diaz'],['Weird Faith'],['7.3'],['https://pitchfork.com/reviews/albums/madi-diaz-weird-faith/'],['folk'],
9,['Chatham County Line'],['Hiyo'],['7.0'],['https://pitchfork.com/reviews/albums/chatham-county-line-hiyo/'],['folk'],
10,['Marika Hackman'],['Big Sigh'],['7.2'],['https://pitchfork.com/reviews/albums/marika-hackman-big-sigh/'],['folk'],
11,['Montañera'],['A Flor de Piel'],['8.0'],['https://pitchfork.com/reviews/albums/montanera-a-flor-de-piel/'],['folk'],
12,['Minhwi Lee'],['Hometown to Come'],['7.6'],['https://pitchfork.com/reviews/albums/minhwi-lee-hometown-to-come/'],['folk'],
13,['Dorothy Carter'],['Waillee Waillee'],['8.5'],['https://pitchfork.com/reviews/albums/dorothy-carter-waillee-waillee/'],['folk'],
14,['James Elkington'],['Me Neither'],['7.5'],['https://pitchfork.com/reviews/albums/james-elkington-me-neither/'],['folk'],
15,['David Michael Moore'],['Adagio Fishing'],['8.0'],['https://pitchfork.com/reviews/albums/david-michael-moore-adagio-fishing/'],['folk'],
16,['Daniel Bachman'],['When the Roses Come Again'],['7.9'],['https://pitchfork.com/reviews/albums/daniel-bachman-when-the-roses-come-again/'],['folk'],
17,['Dolly Parton'],['Rockstar'],['5.2'],['https://pitchfork.com/reviews/albums/dolly-parton-rockstar/'],['folk'],
18,['Ali Sethi'],['Intiha'],['7.2'],['https://pitchfork.com/reviews/albums/ali-sethi-nicolas-jaar-intiha/'],['folk'],
19,['Salmon Graveyard'],['Salmon Graveyard'],['7.6'],['https://pitchfork.com/reviews/albums/salmon-graveyard-salmon-graveyard/'],['folk'],
20,['Anoushka Shankar'],"['Chapter I: Forever, For Now EP']",['7.2'],['https://pitchfork.com/reviews/albums/anoushka-shankar-chapter-i-forever-for-now-ep/'],['folk'],
21,['Helena Deland'],['Goodnight Summerland'],['7.4'],['https://pitchfork.com/reviews/albums/helena-deland-goodnight-summerland/'],['folk'],
22,['Mutual Benefit'],['Growing at the Edges'],['7.9'],['https://pitchfork.com/reviews/albums/mutual-benefit-growing-at-the-edges/'],['folk'],
