,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['grouptherapy.'],"['The ADDENDUM - i was mature for my age, but i was still a child']",['5.8'],['https://pitchfork.com/reviews/albums/grouptherapy-the-addendum-i-was-mature-for-my-age-but-i-was-still-a-child/'],['rap'],
1,['Flo Milli'],"['Fine Ho, Stay']",['7.0'],['https://pitchfork.com/reviews/albums/flo-milli-fine-ho-stay/'],['rap'],
2,['BossMan Dlow'],['Mr Beat the Road'],['7.0'],['https://pitchfork.com/reviews/albums/bossman-dlow-mr-beat-the-road/'],['rap'],
3,['Tierra Whack'],['World Wide Whack'],['7.3'],['https://pitchfork.com/reviews/albums/tierra-whack-world-wide-whack/'],['rap'],
4,['MIKE'],['Pinball'],['8.0'],['https://pitchfork.com/reviews/albums/mike-tony-seltzer-pinball/'],['rap'],
5,['Glorygirl2950'],['Queen of the Land'],['7.4'],['https://pitchfork.com/reviews/albums/glorygirl2950-queen-of-the-land/'],['rap'],
6,['klwn cat'],['Lived and Born'],['7.4'],['https://pitchfork.com/reviews/albums/klwn-cat-sunmundi-lived-and-born/'],['rap'],
7,['Paco Panama'],['Southside Sopranos'],['7.4'],['https://pitchfork.com/reviews/albums/paco-panama-southside-sopranos/'],['rap'],
8,['Schoolboy Q'],['Blue Lips'],['8.3'],['https://pitchfork.com/reviews/albums/schoolboy-q-blue-lips/'],['rap'],
9,['Heems'],['LAFANDAR'],['7.2'],['https://pitchfork.com/reviews/albums/heems-lapgan-lafandar/'],['rap'],
10,['Yeat'],['2093'],['5.8'],['https://pitchfork.com/reviews/albums/yeat-2093/'],['rap'],
11,['Little Simz'],['Drop 7'],['7.5'],['https://pitchfork.com/reviews/albums/little-simz-drop-7-ep/'],['rap'],
12,['¥$'],['VULTURES 1'],['5.8'],['https://pitchfork.com/reviews/albums/kanye-west-and-ty-dolla-sign-vultures-1/'],['rap'],
13,['CRIMEAPPLE'],['El León'],['7.5'],['https://pitchfork.com/reviews/albums/crimeapple-preservation-el-leon/'],['rap'],
14,['Kevin Gates'],['The Ceremony'],['6.7'],['https://pitchfork.com/reviews/albums/kevin-gates-the-ceremony/'],['rap'],
15,['Los'],['LOS X NUTTY'],['7.1'],['https://pitchfork.com/reviews/albums/los-wb-nutty-los-x-nutty/'],['rap'],
16,['Evilgiane'],['#HEAVENSGATE'],['7.3'],['https://pitchfork.com/reviews/albums/evilgiane-heavensgate/'],['rap'],
17,['Angry Blackmen'],['The Legend of ABM'],['7.4'],['https://pitchfork.com/reviews/albums/angry-blackmen-the-legend-of-abm/'],['rap'],
18,['Lyrical Lemonade'],['All Is Yellow'],['5.1'],['https://pitchfork.com/reviews/albums/lyrical-lemonade-all-is-yellow/'],['rap'],
19,['Nicholas Craven'],['Penalty of Leadership'],['7.9'],['https://pitchfork.com/reviews/albums/nicholas-craven-boldy-james-penalty-of-leadership/'],['rap'],
20,['Ms. Boogie'],['The Breakdown'],['7.4'],['https://pitchfork.com/reviews/albums/ms-boogie-the-breakdown/'],['rap'],
21,['Xaviersobased'],['Keep It Goin Xav'],['8.2'],['https://pitchfork.com/reviews/albums/xaviersobased-keep-it-going-xav/'],['rap'],
