,artist,album_name,rating,album_link,genre,Unnamed: 0
0,['Waxahatchee'],['Tigers Blood'],['8.8'],['https://pitchfork.com/reviews/albums/waxahatchee-tigers-blood/'],['rock'],
1,['The Jesus and Mary Chain'],['Glasgow Eyes'],['6.5'],['https://pitchfork.com/reviews/albums/the-jesus-and-mary-chain-glasgow-eyes/'],['rock'],
2,['Adrianne Lenker'],['Bright Future'],['8.4'],['https://pitchfork.com/reviews/albums/adrianne-lenker-bright-future/'],['rock'],
3,['Gouge Away'],['Deep Sage'],['7.5'],['https://pitchfork.com/reviews/albums/gouge-away-deep-sage/'],['rock'],
4,['Yard Act'],['Where’s My Utopia?'],['7.5'],['https://pitchfork.com/reviews/albums/yard-act-wheres-my-utopia/'],['rock'],
5,['Meatbodies'],['Flora Ocean Tiger Bloom'],['7.6'],['https://pitchfork.com/reviews/albums/meatbodies-flora-ocean-tiger-bloom/'],['rock'],
6,['Kim Gordon'],['The Collective'],['8.5'],['https://pitchfork.com/reviews/albums/kim-gordon-the-collective/'],['rock'],
7,['Sheer Mag'],['Playing Favorites'],['6.7'],['https://pitchfork.com/reviews/albums/sheer-mag-playing-favorites/'],['rock'],
8,['Pissed Jeans'],['Half Divorced'],['7.3'],['https://pitchfork.com/reviews/albums/pissed-jeans-half-divorced/'],['rock'],
9,['Albert Hammond'],['Body of Work'],['5.0'],['https://pitchfork.com/reviews/albums/albert-hammond-body-of-work/'],['rock'],
10,['Mary Timony'],['Untame the Tiger'],['7.6'],['https://pitchfork.com/reviews/albums/mary-timony-untame-the-tiger/'],['rock'],
11,['Gin Blossoms'],['New Miserable Experience'],['8.1'],['https://pitchfork.com/reviews/albums/gin-blossoms-new-miserable-experience/'],['rock'],
12,['Mannequin Pussy'],['I Got Heaven'],['8.8'],['https://pitchfork.com/reviews/albums/mannequin-pussy-i-got-heaven/'],['rock'],
13,['Real Estate'],['Daniel'],['6.9'],['https://pitchfork.com/reviews/albums/real-estate-daniel/'],['rock'],
14,['Hurray for the Riff Raff'],['The Past Is Still Alive'],['8.3'],['https://pitchfork.com/reviews/albums/hurray-for-the-riff-raff-the-past-is-still-alive/'],['rock'],
15,['Ghost'],['Ghost / Second Time Around / Temple Stone'],['8.0'],['https://pitchfork.com/reviews/albums/ghost-second-time-around-temple-stone-ghost/'],['rock'],
16,['Rafael Toral'],['Spectral Evolution'],['8.0'],['https://pitchfork.com/reviews/albums/rafael-toral-spectral-evolution/'],['rock'],
17,['Laetitia Sadier'],['Rooting for Love'],['7.5'],['https://pitchfork.com/reviews/albums/laetitia-sadier-rooting-for-love/'],['rock'],
18,['MGMT'],['Loss of Life'],['6.9'],['https://pitchfork.com/reviews/albums/mgmt-loss-of-life/'],['rock'],
19,['Molly Lewis'],['On the Lips'],['7.6'],['https://pitchfork.com/reviews/albums/molly-lewis-on-the-lips/'],['rock'],
20,['Amiture'],['Mother Engine'],['7.2'],['https://pitchfork.com/reviews/albums/amiture-mother-engine/'],['rock'],
21,['Grandaddy'],['Blu Wav'],['8.0'],['https://pitchfork.com/reviews/albums/grandaddy-blu-wav/'],['rock'],
22,['Laura Jane Grace'],['Hole in My Head'],['7.3'],['https://pitchfork.com/reviews/albums/laura-jane-grace-hole-in-my-head/'],['rock'],
23,['Friko'],"['Where we’ve been, Where we go from here']",['7.9'],['https://pitchfork.com/reviews/albums/friko-where-weve-been-where-we-go-from-here/'],['rock'],
24,['Idles'],['TANGK'],['6.7'],['https://pitchfork.com/reviews/albums/idles-tangk/'],['rock'],
25,['Mk.gee'],['Two Star & the Dream Police'],['7.8'],['https://pitchfork.com/reviews/albums/mk-gee-two-star-and-the-dream-police/'],['rock'],
26,['Ducks Ltd.'],['Harm’s Way'],['7.7'],['https://pitchfork.com/reviews/albums/ducks-ltd-harms-way/'],['rock'],
